machine_id,name,machine_type,plant_id,line_id,supplier_id,manufacturer,model_number,installation_date,status
M040,Hydraulic Press Unit M040,Hydraulic Press,P001,L003,S014,Greenerd,ND-2719-SQ,2022-05-05,operational
M041,Compressor Unit M041,Compressor,P002,L005,S003,Kaeser,VT-5299-HX,2022-07-30,operational
M042,Compressor Unit M042,Compressor,P003,L007,S006,Ingersoll Rand,BT-2419-KR,2016-11-26,operational
M043,Conveyor Unit M043,Conveyor,P001,L001,S011,Lewco,LS-6631-OP,2022-06-12,operational
M044,Conveyor Unit M044,Conveyor,P002,L005,S012,Dorner,YK-1491-YC,2023-06-04,operational
M045,Conveyor Unit M045,Conveyor,P003,L008,S011,Dorner,EG-5865-PV,2017-03-26,operational
M046,CNC Unit M046,CNC,P001,L001,S010,FANUC,BX-0671-OD,2020-04-30,operational
M047,Grinding Machine Unit M047,Grinding Machine,P002,L004,S009,Studer,PR-2628-NZ,2020-02-09,operational
M048,Welding Robot Unit M048,Welding Robot,P003,L008,S004,ESAB,UL-8776-RU,2017-03-07,operational
M049,Compressor Unit M049,Compressor,P001,L001,S008,Kaeser,PW-3147-DK,2019-06-25,operational
M050,Welding Robot Unit M050,Welding Robot,P002,L005,S005,ESAB,FU-9650-LF,2015-01-23,fault
